¹	poin	H_g_p	L_1_l	H_1_l	L_2_l	H_2_l	L_v_ok	Y_v_ok	L_vn_ok	H_vn_ok	H_t	H_p
86	Á		9.3	1.1	8.8	0.7						
87	Á		11.5	1.2	10	0.8						
88	Á		11.5	1.4	9.5	1						
89	Á		10.8	1	10	0.7						
90	Á		11	1	9.2	0.6						
91	Á		12.5	1.2	9	0.7						
92	Á	3.5	9.2	1	7.5	0.6						
93	Á	4.5	9.5	1.1	8.5	0.8						
94	Á		10	1.1	9.5	0.8						
95	Á	1.5	10.5	1.3	9.5	0.9						
96	Á		11	1.4	10	0.9						
97	Á	5.3	11	1	11.2	0.7						
98	Á		10	0.9	9	0.6						
99	Á	6.8	15	1.2	13.5	0.9						
100	Á		16.2	1.5	15	1.1						
